Referring platform,Channel,Type,Sessions,Sales,Orders,Conversion rate,Cost,ROAS,CPA,CTR,AOV,Orders from new customers,Orders from returning customers
syndicatedsearch,syndicatedsearch,paid,803,,,,,,,,,,
direct,direct,direct,718,442,5,0.006963788300835654,,,,,88.4,3,2
alphabet,google,paid,172,332.96,3,0.01744186046511628,,,,,110.986,2,1
attentive,attentive,paid,158,1468.8,13,0.08227848101265822,,,,,112.984,6,7
meta,facebook,paid,150,,,,,,,,,,
privy,privy,paid,139,1149.94,11,0.07913669064748201,,,,,104.54,0,11
activecampaign,activecampaign,paid,133,,,,,,,,,,
alphabet,google,organic,125,181.02,2,0.016,,,,,90.51,2,0
meta,instagram,paid,42,,,,,,,,,,
alphabet,unattributed,paid,32,,,,,,,,,,
caiteonline,caiteonline,organic,28,299.01,3,0.10714285714285714,,,,,99.67,3,0
meta,instagram,unknown,19,192.1,1,0.05263157894736842,,,,,192.1,1,0
meta,facebook,unknown,14,,,,,,,,,,
duckduckgo,duckduckgo,organic,13,,,,,,,,,,
alphabet,unattributed,unknown,13,,,,,,,,,,
microsoft,bing,organic,12,99.96,1,0.08333333333333333,,,,,99.96,0,1
shopify,unattributed,unknown,8,,,,,,,,,,
yahoo!,yahoo!,organic,7,,,,,,,,,,
alphabet,gmail,paid,5,,,,,,,,,,
smile_rewards,smile_rewards,unknown,5,,,,,,,,,,
pinterest,pinterest,organic,4,,,,,,,,,,
shopify,shopify,organic,4,,,,,,,,,,
alphabet,youtube,paid,4,,,,,,,,,,
dallasmarketcenter,dallasmarketcenter,organic,2,,,,,,,,,,
direct,direct,NULL,2,,,,,,,,,,
shop_app,shop_app,unknown,2,,,,,,,,,,
brave,brave,organic,1,,,,,,,,,,
chatgpt,chatgpt,unknown,1,,,,,,,,,,
dka3dqtjjog7y,dka3dqtjjog7y,organic,1,,,,,,,,,,
alphabet,google,unknown,1,,,,,,,,,,
meta,instagram,organic,1,,,,,,,,,,
thequeeninbetween,thequeeninbetween,organic,1,,,,,,,,,,
yandex,yandex,organic,1,,,,,,,,,,
