Referring platform,Channel,Type,Sessions,Sales,Orders,Conversion rate,Cost,ROAS,CPA,CTR,AOV,Orders from new customers,Orders from returning customers
alphabet,unattributed,unknown,14988,,,,,,,,,,
alphabet,unattributed,paid,10440,110,1,0.00009578544061302682,,,,,110,0,1
direct,direct,direct,9410,4019.04,36,0.0038257173219978747,,,,,111.64,17,19
alphabet,google,paid,3503,6429.96,50,0.014273479874393378,,,,,128.599,34,16
meta,facebook,paid,2945,,,,,,,,,,
syndicatedsearch,syndicatedsearch,paid,2175,,,,,,,,,,
alphabet,google,organic,1879,3893.58,28,0.014901543374135177,,,,,139.056,21,7
privy,privy,paid,1608,9184.02,85,0.05286069651741294,,,,,108.047,7,78
attentive,attentive,paid,1520,11788.3,102,0.06710526315789474,,,,,115.571,41,61
activecampaign,activecampaign,paid,989,2100.55,14,0.014155712841253791,,,,,150.039,2,12
meta,facebook,unknown,460,,,,,,,,,,
caiteonline,caiteonline,organic,459,1696.91,14,0.030501089324618737,,,,,121.207,13,1
meta,instagram,paid,439,,,,,,,,,,
alphabet,youtube,paid,275,,,,,,,,,,
meta,instagram,unknown,273,192.1,1,0.003663003663003663,,,,,192.1,1,0
microsoft,bing,organic,129,559.16,7,0.05426356589147287,,,,,79.88,5,2
duckduckgo,duckduckgo,organic,125,894,5,0.04,,,,,178.8,2,3
googlesyndication,googlesyndication,paid,105,,,,,,,,,,
shopify,unattributed,unknown,89,,,,,,,,,,
yahoo!,yahoo!,organic,89,487.35,2,0.02247191011235955,,,,,243.675,1,1
pinterest,pinterest,organic,85,,,,,,,,,,
alphabet,google,unknown,45,35,1,0.022222222222222223,,,,,35,0,1
alphabet,gmail,paid,44,,,,,,,,,,
smile_rewards,smile_rewards,unknown,44,347.1,3,0.06818181818181818,,,,,115.7,0,3
dallasmarketcenter,dallasmarketcenter,organic,36,,,,,,,,,,
meta,instagram,organic,35,106.2,1,0.02857142857142857,,,,,106.2,1,0
shopify,shopify,organic,22,296.1,1,0.045454545454545456,,,,,296.1,0,1
brave,brave,organic,18,138,1,0.05555555555555555,,,,,138,1,0
badoo,badoo,paid,16,,,,,,,,,,
judgeme,judgeme,paid,16,,,,,,,,,,
meta,facebook,organic,13,,,,,,,,,,
meta,unattributed,unknown,11,,,,,,,,,,
celebritesqc,celebritesqc,paid,8,,,,,,,,,,
derniereheureqc,derniereheureqc,paid,8,,,,,,,,,,
mp-cricket,mp-cricket,paid,8,,,,,,,,,,
shop_app,shop_app,unknown,8,,,,,,,,,,
weather,weather,paid,8,,,,,,,,,,
chicagocollectivewomens,chicagocollectivewomens,organic,7,,,,,,,,,,
onet,onet,paid,7,,,,,,,,,,
outkick,outkick,paid,7,,,,,,,,,,
solitaire,solitaire,paid,7,,,,,,,,,,
astucesantemag,astucesantemag,paid,6,,,,,,,,,,
linformateurqc,linformateurqc,paid,6,,,,,,,,,,
parentsdome,parentsdome,paid,6,,,,,,,,,,
dailymail,dailymail,paid,5,,,,,,,,,,
dka3dqtjjog7y,dka3dqtjjog7y,organic,5,,,,,,,,,,
jigsawpuzzle,jigsawpuzzle,paid,5,,,,,,,,,,
juggle,juggle,paid,5,,,,,,,,,,
nopuzzle,nopuzzle,paid,5,,,,,,,,,,
playhop,playhop,paid,5,,,,,,,,,,
